chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00000	policy_1_bharat_suraksha			general	266	BHARAT SURAKSHA MOTOR INSURANCE CO. LTD MOTOR PRIVATE CAR COMPREHENSIVE POLICY WORDINGS Policy Type: Comprehensive Own Damage and Third Party Liability Whereas the insured, by a proposal and declaration dated as stated in the Schedule, has applied to Bharat Suraksha
chunk_00001	policy_1_bharat_suraksha			general	193	Motor Insurance Company Limited (hereinafter referred to as the Company) for the insurance described herein, and has paid the premium stated in the Schedule as consideration for this insurance.
chunk_00002	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED		coverage	266	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED The Company will indemnify the insured against loss or damage to the vehicle insured and its accessories whilst thereon, arising from the following perils: (cid:127) By fire, explosion, self-ignition, or lightning.
chunk_00003	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED		general	287	[SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED] (cid:127) By burglary, housebreaking, or theft. (cid:127) By riot and strike. (cid:127) By earthquake, including fire and shock damage. (cid:127) By flood, typhoon, hurricane, storm, tempest, inundation, cyclone, hailstorm, or frost.
chunk_00004	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED	dent,scratch,crack,broken_lamp	definition	254	[SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED] (cid:127) By accidental external means, including collision, impact with another vehicle or stationary object, and resulting dents, scratches, cracks, and breakage of lamps or other exterior fittings.
chunk_00005	policy_1_bharat_suraksha	SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED	scratch	general	349	[SECTION I. LOSS OF OR DAMAGE TO THE VEHICLE INSURED] (cid:127) By malicious act, including intentional scratching, keying, or deliberate damage to exterior panels. (cid:127) By terrorist activity. (cid:127) Whilst in transit by road, rail, inland waterway, lift, elevator, or air. (cid:127) By landslide or rockslide. DEPRECIATION ON REPLACED PARTS
chunk_00006	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	shattered_glass,flat_tyre	general	230	The following depreciation rates apply to parts necessarily replaced: (cid:127) For all rubber, nylon, plastic parts, tyres, tubes, batteries, and air bags: 50% depreciation. (cid:127) For fibre glass components: 30% depreciation.
chunk_00007	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	shattered_glass	general	362	[The following depreciation rates apply to parts necessarily replaced:] (cid:127) For all parts made of glass, including windscreen, rear windscreen, and door windows: Nil depreciation applies. The full replacement cost is recoverable. (cid:127) For all other parts including wooden parts: depreciation as per the schedule below. Age of Vehicle % of Depreciation
chunk_00008	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:		sub_limit	369	[The following depreciation rates apply to parts necessarily replaced:] Age of Vehicle % of Depreciation Not exceeding 6 months Nil Exceeding 6 months but not exceeding 1 year 5% Exceeding 1 year but not exceeding 2 years 10% Exceeding 2 years but not exceeding 3 years 15% Exceeding 3 years but not exceeding 4 years 25% Exceeding 4 years but not exceeding 5 years 35%
chunk_00009	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:		sub_limit	260	[The following depreciation rates apply to parts necessarily replaced:] Exceeding 5 years but not exceeding 10 years 40% Exceeding 10 years 50% Rate of Depreciation for Painting: A depreciation rate of 50% is applied only on the material cost of total painting
chunk_00010	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	flat_tyre	condition	326	[The following depreciation rates apply to parts necessarily replaced:] charges. In the case of a consolidated bill, the material component is deemed to be 25% of total painting charges. TYRE AND TUBE DAMAGE Damage to tyres and tubes is covered subject to a deduction of 50% of the cost of replacement, but only if the vehicle
chunk_00011	policy_1_bharat_suraksha	The following depreciation rates apply to parts necessarily replaced:	flat_tyre	exclusion	271	[The following depreciation rates apply to parts necessarily replaced:] insured has also sustained damage at the same time. Where the vehicle has not been damaged simultaneously, tyre and tube damage alone is not recoverable under this section. EXCLUSIONS UNDER SECTION I
chunk_00012	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	66	The Company shall not be liable to make any payment in respect of:
chunk_00013	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	246	[The Company shall not be liable to make any payment in respect of:] 1. Consequential loss, depreciation, wear and tear, or mechanical and electrical breakdown, failures, or breakages, even where such breakdown results in external visible damage.
chunk_00014	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	dent,scratch	exclusion	273	[The Company shall not be liable to make any payment in respect of:] 2. Dents, scratches, or panel damage arising solely from gradual deterioration, road vibration over time, or corrosion, rather than from a specific identifiable accidental event covered under this policy.
chunk_00015	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	scratch	exclusion	207	[The Company shall not be liable to make any payment in respect of:] 3. Scratch or abrasion damage attributable to routine car washing, polishing, or normal servicing activities, classified as wear and tear.
chunk_00016	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	crack	exclusion	213	[The Company shall not be liable to make any payment in respect of:] 4. Cracks in the dashboard, door trims, or interior plastic components from thermal expansion or contraction due to ambient temperature changes.
chunk_00017	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	dent,broken_lamp	exclusion	226	[The Company shall not be liable to make any payment in respect of:] 5. Lamp failure due to bulb burnout, filament failure, or electrical fault, without any accompanying physical impact or breakage of the lamp housing or lens.
chunk_00018	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	broken_lamp	exclusion	181	[The Company shall not be liable to make any payment in respect of:] 6. Condensation or fogging inside lamp assemblies not accompanied by physical damage to the lamp housing itself.
chunk_00019	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	scratch,crack,shattered_glass	exclusion	211	[The Company shall not be liable to make any payment in respect of:] 7. Windscreen scratches or minor surface marks on glass that do not constitute a break, crack, or chip impairing the driver's field of vision.
chunk_00020	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	flat_tyre	exclusion	198	[The Company shall not be liable to make any payment in respect of:] 8. Tyre wear and tread depth below the legal minimum limit, or damage arising from driving on tyres in an unroadworthy condition.
chunk_00021	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:	flat_tyre	exclusion	204	[The Company shall not be liable to make any payment in respect of:] 9. Tyre or tube damage when the vehicle was being operated outside the geographical area specified in the Schedule at the time of loss.
chunk_00022	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	220	[The Company shall not be liable to make any payment in respect of:] 10. Loss or damage arising from contractual liability or arising out of use of the vehicle otherwise than in accordance with the Limitations as to Use.
chunk_00023	policy_1_bharat_suraksha	The Company shall not be liable to make any payment in respect of:		exclusion	227	[The Company shall not be liable to make any payment in respect of:] 11. Any loss or damage sustained whilst the insured or driver was under the influence of intoxicating liquor or drugs. BHARAT SURAKSHA MOTOR INSURANCE CO. LTD
chunk_00024	policy_1_bharat_suraksha	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)		sub_limit	292	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV) The Insured Declared Value (IDV) of the vehicle shall be the Sum Insured for the purpose of this policy, fixed at policy commencement based on the manufacturer's listed selling price adjusted for depreciation as per the schedule below:
chunk_00025	policy_1_bharat_suraksha	SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)		sub_limit	356	[SECTION II. SUM INSURED AND INSURED DECLARED VALUE (IDV)] Age of Vehicle % of Depreciation Not exceeding 6 months 5% Exceeding 6 months but not exceeding 1 year 15% Exceeding 1 year but not exceeding 2 years 20% Exceeding 2 years but not exceeding 3 years 30% Exceeding 3 years but not exceeding 4 years 40% Exceeding 4 years but not exceeding 5 years 50%
