chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00000	user_policy_3_quickclaim_general			coverage	270	QUICKCLAIM GENERAL INSURANCE LIMITED MOTOR VEHICLE PACKAGE POLICY - SCHEDULE OF TERMS AND CONDITIONS Comprehensive Own Damage and Compulsory Third Party Cover The insured, having submitted a duly completed proposal form, is hereby granted insurance by QuickClaim General
chunk_00001	user_policy_3_quickclaim_general			exclusion	199	Insurance Limited, subject to the terms, exclusions, conditions, and limitations set forth herein. The Schedule attached forms an integral part of this contract. OPERATIVE CLAUSE - OWN DAMAGE SECTION
chunk_00002	user_policy_3_quickclaim_general			coverage	149	OPERATIVE CLAUSE - OWN DAMAGE SECTION The Company undertakes to indemnify the insured in respect of accidental loss or damage to the vehicle insured,
chunk_00003	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:		general	274	arising from and directly caused by the following events during the policy period: (cid:127) Fire, self-ignition, lightning, explosion. (cid:127) Theft, robbery, or wrongful abstraction. (cid:127) Riot, strike, or civil commotion. (cid:127) Earthquake fire and shock damage.
chunk_00004	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	dent	general	377	[arising from and directly caused by the following events during the policy period:] (cid:127) Flood, cyclone, hurricane, inundation, hailstorm. (cid:127) Damage arising from accidental contact with another vehicle or stationary object, resulting in deformation of body panels, wheel arches, bumpers, and associated exterior surfaces. This includes dents of all sizes caused by
chunk_00005	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	scratch	general	345	[arising from and directly caused by the following events during the policy period:] such contact. (cid:127) Damage arising from contact with abrasive surfaces or deliberate acts amounting to malicious mischief, where an act by an identifiable third party can be established and where the damage manifests as surface scratches or paint abrasion.
chunk_00006	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	dent,scratch,crack	general	351	[arising from and directly caused by the following events during the policy period:] scratches or paint abrasion. (cid:127) Damage to plastic, composite, or metal components resulting in fracture or structural breach, caused directly by impact from an insured peril, specifically including cracks to bumpers, wheel arch liners, door panels, and sills.
chunk_00007	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	dent,crack,broken_lamp,shattered_glass	general	379	[arising from and directly caused by the following events during the policy period:] and sills. (cid:127) Destruction or breakage of headlamps, tail lamps, indicator assemblies, and auxiliary lamps caused directly by mechanical impact during an insured event. (cid:127) Shattering, cracking, or breaking of any glass component of the vehicle, including the front windscreen, rear
chunk_00008	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	shattered_glass,flat_tyre	general	288	[arising from and directly caused by the following events during the policy period:] windscreen, and side door glass. Glass is indemnified at actual replacement cost without depreciation deduction. (cid:127) Landslide, rockslide. (cid:127) Transit damage. SPECIAL CONDITIONS - TYRE DAMAGE
chunk_00009	user_policy_3_quickclaim_general	arising from and directly caused by the following events during the policy period:	flat_tyre	coverage	350	[arising from and directly caused by the following events during the policy period:] SPECIAL CONDITIONS - TYRE DAMAGE Loss or damage to tyres and inner tubes is covered subject to a deduction of 50% of the cost of replacement, provided that the vehicle insured has sustained concurrent physical damage in the same incident. Coverage under this clause
