chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00000	user_policy_2_safedrive_assurance			coverage	247	SAFEDRIVE ASSURANCE CORPORATION PRIVATE MOTOR VEHICLE OWN DAMAGE POLICY Standalone Own Damage Cover with Nil Depreciation Add-On This policy document sets out the full terms and conditions of the insurance contract between the insured named in the
chunk_00001	user_policy_2_safedrive_assurance			general	138	Schedule and SafeDrive Assurance Corporation. The Schedule, this document, and any endorsements together form the entire policy agreement.
chunk_00002	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:		coverage	291	We will pay for physical loss or damage to your vehicle caused by: (cid:127) Fire, explosion, lightning, or self-ignition. (cid:127) Theft, burglary, or housebreaking. (cid:127) Riots, strikes, or civil disturbance. (cid:127) Earthquake, flood, cyclone, hailstorm, or other natural calamity.
chunk_00003	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,scratch	coverage	342	[We will pay for physical loss or damage to your vehicle caused by:] (cid:127) Physical impact damage caused by collision with another vehicle, animal, or fixed object, resulting in dents to panels, bumpers, or wheel arches. (cid:127) Surface damage including paint and body abrasions arising from collision, intentional acts, or contact with
chunk_00004	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,crack	coverage	276	[We will pay for physical loss or damage to your vehicle caused by:] abrasive surfaces where an identifiable accidental event can be established. (cid:127) Structural fractures to body panels, bumpers, and exterior trim resulting from impact, collision, or accidental contact.
chunk_00005	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	dent,broken_lamp,shattered_glass	coverage	354	[We will pay for physical loss or damage to your vehicle caused by:] contact. (cid:127) Damage to lighting units including headlamp assemblies, tail lamp clusters, fog lamps, indicator units, and reflectors, caused by impact or accident. (cid:127) Windscreen, rear windscreen, and door window glass damage - glass is covered at nil depreciation. The full
chunk_00006	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	296	[We will pay for physical loss or damage to your vehicle caused by:] cost of windscreen replacement is payable without any deduction for the age of the vehicle. (cid:127) Landslide or rockslide. (cid:127) Transit damage during transportation by road, rail, or sea. PART A1. GLASS COVERAGE DETAILS
chunk_00007	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	330	[We will pay for physical loss or damage to your vehicle caused by:] PART A1. GLASS COVERAGE DETAILS Glass components of the vehicle including the front windscreen, rear windscreen, quarter glass panels, and door windows are covered without any depreciation deduction regardless of vehicle age. This means the full invoice cost of
chunk_00008	user_policy_2_safedrive_assurance	We will pay for physical loss or damage to your vehicle caused by:	shattered_glass	coverage	134	[We will pay for physical loss or damage to your vehicle caused by:] glass replacement at an authorised service centre is recoverable.
chunk_00009	user_policy_2_safedrive_assurance	What is NOT covered under glass:	shattered_glass	coverage	212	What is NOT covered under glass: (cid:127) Internal rear-view mirror glass that is not part of the vehicle's main glazing. (cid:127) Sunroof and panoramic roof glass, unless specifically endorsed on the Schedule.
