chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00000	user_policy_5_valuemotor			coverage	243	VALUEMOTOR COMPREHENSIVE INSURANCE LTD VALUEMOTOR COMPREHENSIVE MOTOR POLICY Affordable Comprehensive Own Damage and Third Party Cover Thank you for choosing ValueMotor Comprehensive Insurance. This document explains what is and is not covered
chunk_00001	user_policy_5_valuemotor			general	61	under your policy. Please read it carefully and keep it safe.
chunk_00002	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:		coverage	257	Your vehicle is covered for loss or damage caused by: (cid:127) Fire, explosion, or lightning strike. (cid:127) Theft or attempted theft. (cid:127) Riots, strikes, or acts of terrorism. (cid:127) Natural disasters: floods, cyclones, earthquakes, hailstorms.
chunk_00003	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:	dent,scratch	coverage	350	[Your vehicle is covered for loss or damage caused by:] (cid:127) Accidental collision or impact - loss or damage caused by your vehicle colliding with another vehicle or object, resulting in dents to the vehicle body, bumpers, or wheel arches. (cid:127) Cosmetic damage from accident or vandalism - scratching, keying, or paint abrasion caused by an
chunk_00004	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:	dent,crack	coverage	258	[Your vehicle is covered for loss or damage caused by:] identifiable accidental or malicious event. (cid:127) Cracking or fracturing of exterior components by accidental means - this includes cracks in bumpers, door panels, trims, and sills caused by impact.
chunk_00005	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:	dent,broken_lamp,shattered_glass	coverage	326	[Your vehicle is covered for loss or damage caused by:] (cid:127) Breakage of headlight, taillight, or indicator units by accident or collision during the policy period. (cid:127) Glass damage without depreciation deduction - your windscreen, rear windscreen, and door windows are covered at full replacement cost as standard.
chunk_00006	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:	flat_tyre	coverage	274	[Your vehicle is covered for loss or damage caused by:] (cid:127) Tyre and tube damage at 50% of replacement cost, only when the vehicle has also been damaged in the same incident. (cid:127) Damage in transit by road, rail, or water. (cid:127) Landslide or rockslide damage.
chunk_00007	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:	shattered_glass	coverage	326	[Your vehicle is covered for loss or damage caused by:] 2. HOW DEPRECIATION WORKS When a part is replaced, we deduct a percentage for depreciation based on your vehicle's age, except for glass (always nil depreciation): Age of Vehicle % of Depreciation Not exceeding 6 months Nil Exceeding 6 months but not exceeding 1 year 5%
chunk_00008	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:		coverage	318	[Your vehicle is covered for loss or damage caused by:] Exceeding 1 year but not exceeding 2 years 10% Exceeding 2 years but not exceeding 3 years 15% Exceeding 3 years but not exceeding 4 years 25% Exceeding 4 years but not exceeding 5 years 35% Exceeding 5 years but not exceeding 10 years 40% Exceeding 10 years 50%
chunk_00009	user_policy_5_valuemotor	Your vehicle is covered for loss or damage caused by:	shattered_glass,flat_tyre	coverage	220	[Your vehicle is covered for loss or damage caused by:] Exceeding 10 years 50% Rubber, plastic, tyre, battery, and airbag parts: always 50% deduction. Glass parts: always nil deduction. You get the full replacement cost.
