chunk_id	doc_id	heading	damage_classes	clause_type	chunk_len	text
chunk_00000	user_POL-006			coverage	225	AUTOGUARD PREMIUM INSURANCE SERVICES LTD AUTOGUARD PREMIUM MOTOR POLICY Own Damage with Full Cover Add-On Suite AutoGuard Premium Insurance Services Ltd agrees to insure the vehicle described in the Schedule against the risks
chunk_00001	user_POL-006			general	83	specified in this document, for the period shown, in exchange for the premium paid.
chunk_00002	user_POL-006	CHAPTER 1. COVERED EVENTS - OWN DAMAGE		coverage	274	CHAPTER 1. COVERED EVENTS - OWN DAMAGE The following events are covered under this policy, subject to the terms, exclusions, and sub-limits defined in Chapter 3: Event Coverage detail Applies to Fire and allied perils Fire, explosion, lightning, self-ignition All components
chunk_00003	user_POL-006	CHAPTER 1. COVERED EVENTS - OWN DAMAGE	dent,scratch	coverage	328	[CHAPTER 1. COVERED EVENTS - OWN DAMAGE] Theft Burglary, housebreaking, theft Whole vehicle Natural calamity Flood, cyclone, earthquake, hailstorm All components Dents to panels, bumpers, arches from collision or Bodily damage from impact object impact Exterior body panels Paint abrasion and exterior scratches from accident or
chunk_00004	user_POL-006	CHAPTER 1. COVERED EVENTS - OWN DAMAGE	dent,scratch,crack,broken_lamp,shattered_glass	coverage	335	[CHAPTER 1. COVERED EVENTS - OWN DAMAGE] Paint and surface damage vandalism Exterior surfaces Panel fractures Cracks to bumpers, door panels, trims from impact Exterior components Headlamps, tail lamps, fog lamps, indicators broken All lamps and Lighting assembly damage by impact reflectors Windscreen, rear screen, side windows - nil
chunk_00005	user_POL-006	CHAPTER 1. COVERED EVENTS - OWN DAMAGE	shattered_glass,flat_tyre	coverage	192	[CHAPTER 1. COVERED EVENTS - OWN DAMAGE] Glass damage depreciation All vehicle glazing At 50% of replacement cost if concurrent vehicle Tyre and tube damage damage present Tyres and tubes only
chunk_00006	user_POL-006	CHAPTER 2. DEPRECIATION SCHEDULE		sub_limit	297	CHAPTER 2. DEPRECIATION SCHEDULE Standard depreciation applies to parts replaced, except where the Nil Depreciation Add-On (Chapter 5) applies: Age of Vehicle % of Depreciation Not exceeding 6 months Nil Exceeding 6 months but not exceeding 1 year 5% Exceeding 1 year but not exceeding 2 years 10%
chunk_00007	user_POL-006	CHAPTER 2. DEPRECIATION SCHEDULE	shattered_glass	sub_limit	330	[CHAPTER 2. DEPRECIATION SCHEDULE] Exceeding 2 years but not exceeding 3 years 15% Exceeding 3 years but not exceeding 4 years 25% Exceeding 4 years but not exceeding 5 years 35% Exceeding 5 years but not exceeding 10 years 40% Exceeding 10 years 50% Glass components carry nil depreciation as standard, regardless of vehicle age.
chunk_00008	user_POL-006	3.1 Panel and Dent Exclusions	dent	exclusion	198	3.1 Panel and Dent Exclusions (cid:127) Dents arising from hail where the vehicle was left uncovered in an open area against a forecast severe weather warning issued by the meteorological authority.
chunk_00009	user_POL-006	3.1 Panel and Dent Exclusions	dent	exclusion	304	[3.1 Panel and Dent Exclusions] (cid:127) Panel damage resulting from the vehicle being used to tow a load exceeding the manufacturer's towing capacity specification. (cid:127) Dents or deformations on fuel filler caps, aerial housings, or other minor projections not forming part of the main body panel.
chunk_00010	user_POL-006	3.1 Panel and Dent Exclusions	dent	exclusion	294	[3.1 Panel and Dent Exclusions] body panel. (cid:127) Body panel damage from shopping trolley impact in private parking facilities where the insured had parked against the facility's instructions. (cid:127) Pre-existing dents and panel deformations recorded in the pre-policy inspection report.
chunk_00011	user_POL-006	3.2 Scratch Exclusions	scratch	exclusion	249	3.2 Scratch Exclusions (cid:127) Scratches from improper car wash technique, including dry wiping or use of coarse sponges, constituting owner-induced damage. (cid:127) Paint keying or scratching by the insured or members of the insured's household.
chunk_00012	user_POL-006	3.2 Scratch Exclusions	scratch	exclusion	314	[3.2 Scratch Exclusions] (cid:127) Surface marks on plastic bumpers from minor parking manoeuvres. (cid:127) Scratches inside the vehicle load bay or boot area from carrying luggage or goods. (cid:127) Chemical etching from bird lime, insect residue, or industrial fallout. AUTOGUARD PREMIUM INSURANCE SERVICES LTD
chunk_00013	user_POL-006	3.3 Crack Exclusions	crack	exclusion	286	3.3 Crack Exclusions (cid:127) Cracks in the engine block, cylinder head, or differential casing, unless caused by a primary accidental external event that is separately claimed. (cid:127) Cracks in interior plastic trim, dashboard, or door card material from thermal or UV degradation.
chunk_00014	user_POL-006	3.3 Crack Exclusions	crack	exclusion	316	[3.3 Crack Exclusions] (cid:127) Stress fractures in suspension components from prolonged use on poor roads. (cid:127) Cracks in aftermarket bodywork additions, spoilers, or ground effects kits not part of the manufacturer's original specification. (cid:127) Fractures in tow bars or roof-mounted cycle or ski racks.
chunk_00015	user_POL-006	3.4 Lamp Exclusions	broken_lamp	exclusion	259	3.4 Lamp Exclusions (cid:127) Electrical failure of lamp control modules or LED drivers without physical damage to the lamp housing or lens. (cid:127) Damage to decorative or customisation lighting not forming part of the vehicle's regulatory lighting system.
chunk_00016	user_POL-006	3.4 Lamp Exclusions	broken_lamp	exclusion	233	[3.4 Lamp Exclusions] (cid:127) DRL (Daytime Running Light) malfunction not associated with an accident. (cid:127) Lamp damage on a second vehicle involved in the same incident, payable instead from the third-party liability section.
chunk_00017	user_POL-006	3.4 Lamp Exclusions	broken_lamp	exclusion	130	[3.4 Lamp Exclusions] section. (cid:127) Corrosion of lamp contacts or connectors from moisture ingress through an undamaged seal.
chunk_00018	user_POL-006	3.5 Glass Exclusions	shattered_glass	exclusion	252	3.5 Glass Exclusions (cid:127) Glass damage on a vehicle registered as a commercial goods carrier under a different class of insurance. (cid:127) Tinting films, privacy glass coatings, or heat-rejection treatments applied to the original vehicle glass.
chunk_00019	user_POL-006	3.5 Glass Exclusions	scratch,shattered_glass	exclusion	312	[3.5 Glass Exclusions] (cid:127) Laminated windscreen separation or delamination from age or manufacturing defect, recoverable under warranty. (cid:127) Sunroof glass breakage unless the Sunroof Add-On is endorsed on the Schedule. (cid:127) Glass scratches from windscreen wiper blades operating on a dry screen.
chunk_00020	user_POL-006	3.6 Tyre Exclusions	flat_tyre	exclusion	262	3.6 Tyre Exclusions (cid:127) Tyre damage from deliberate spiked road obstacles (road spikes) in a disputed ownership or legal proceeding situation. (cid:127) Damage to speciality or competition tyres not approved for road use under Central Motor Vehicles Rules.
chunk_00021	user_POL-006	3.6 Tyre Exclusions	flat_tyre	exclusion	301	[3.6 Tyre Exclusions] (cid:127) Tyre damage from use of incorrect tyre size not conforming to vehicle type approval. (cid:127) Gradual loss of tyre pressure from micro-porosity without a definable puncture event. (cid:127) Damage to tyre foam inserts or run-flat inserts not covered as standard tyres.
chunk_00022	user_POL-006	CHAPTER 4. DEDUCTIBLE AND IDV		sub_limit	293	CHAPTER 4. DEDUCTIBLE AND IDV Compulsory deductible: Rs. 2,500 per claim occurrence. Optional voluntary deductible: Rs. 2,500 / Rs. 5,000 / Rs. 10,000 for corresponding premium discount. Age of Vehicle % of Depreciation Not exceeding 6 months 5% Exceeding 6 months but not exceeding 1 year 15%
chunk_00023	user_POL-006	CHAPTER 4. DEDUCTIBLE AND IDV		sub_limit	222	[CHAPTER 4. DEDUCTIBLE AND IDV] Exceeding 1 year but not exceeding 2 years 20% Exceeding 2 years but not exceeding 3 years 30% Exceeding 3 years but not exceeding 4 years 40% Exceeding 4 years but not exceeding 5 years 50%
chunk_00024	user_POL-006	CHAPTER 5. PREMIUM ADD-ON COVERS		coverage	250	CHAPTER 5. PREMIUM ADD-ON COVERS Add-On A: Nil Depreciation Available for vehicles up to 5 years old. No depreciation is charged on parts replaced during a partial loss claim, subject to maximum two claims per policy year. Add-On B: Return to Invoice
chunk_00025	user_POL-006	CHAPTER 5. PREMIUM ADD-ON COVERS		coverage	270	[CHAPTER 5. PREMIUM ADD-ON COVERS] Add-On B: Return to Invoice In the event of Total Loss or theft with no recovery, the claim is settled at the original on-road price (ex-showroom plus taxes and registration) rather than the depreciated IDV. Add-On C: Consumables Cover
chunk_00026	user_POL-006	CHAPTER 5. PREMIUM ADD-ON COVERS		coverage	286	[CHAPTER 5. PREMIUM ADD-ON COVERS] Add-On C: Consumables Cover Consumable items including engine oil, coolant, AC gas, nuts, bolts, and sealants replaced during an admissible partial loss repair are covered, subject to a limit of 1% of IDV or 5% of the claim amount, whichever is lower.
chunk_00027	user_POL-006	CHAPTER 6. CLAIMS		general	241	CHAPTER 6. CLAIMS (cid:127) Intimate within 24 hours at our helpline or via the mobile app. (cid:127) A virtual survey option is available for claims under Rs. 30,000. (cid:127) Cashless repair available at 4,200+ network garages nationwide.
chunk_00028	user_POL-006	CHAPTER 6. CLAIMS		general	183	[CHAPTER 6. CLAIMS] (cid:127) Claim decision within 5 working days of survey completion. Synthetic specimen policy - research and educational use only. Not a valid insurance contract.
